username,avatar_url,offers_count,time_remaining,title,job_url,preview_description,full_description,category,category_url,budget,page
digitaltop.pl,https://useme-prod-public.s3.amazonaws.com/avatars/056/282856_ZPGY56M.png,,Znika za 30 dni,Szukam freelancera BING (MICROSOFT) ADS,"https://useme.com/pl/jobs/szukam-freelancera-bing-microsoft-ads,105031/","Szukam specjalisty do konfiguracji kampanii Bing Ads. Wymagam doświadczenia popartego dobrymi wynikami. 
Posiadam kilka domen.",Description not found,Kampanie reklamowe,"https://useme.com/pl/jobs/category/marketing,37/kampanie-reklamowe,109/","2000,00 PLN",1
Kacper Suszek,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Tworzenie grafik reklamowych (Facebook) – stała współpraca,"https://useme.com/pl/jobs/tworzenie-grafik-reklamowych-facebook-staa-wspopraca,105030/","Jesteśmy firmą, która szuka profesjonalisty do długoterminowej współpracy przy tworzeniu estetycznych i kreatywnych projektów graficznych, które będą wykorzystywane w kampaniach reklamowych (głównie Facebook Ads).

Nasze oczekiwania:

Minimum 2...",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,1
Zent Dental Care,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Zdjęcie produktowe,"https://useme.com/pl/jobs/zdjecie-produktowe,105033/","Cześć, szukamy doświadczonego fotografa z dostępem do studia do którego możemy wysłać nasz produkt do zdjęć. Nasz produkt to pudełko z zestawem mniejszych produktów w środku, które chcemy ładnie zwizualizować. Przesłalibyśmy nasze pudełko wraz z...",Description not found,Fotografia,"https://useme.com/pl/jobs/category/multimedia,36/fotografia,107/","400,00 PLN",1
Akademia Rodzica,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 90 dni,Znalezienie drukarni oraz stworzenie plakatów architektonicznych do druku na folii złotej,"https://useme.com/pl/jobs/znalezienie-drukarni-oraz-stworzenie-plakatow-architektonicznych-do-druku-na-fol,105029/","Zamówienie składa się z trzech etapów:
Etap I. 
Znalezienie podwykonawcy, drukarni (która przyjmuje również zamówienia internetowe) w celu:
- zdobycia informacji jak zaprojektować plakat, w celu optymalizacji produkcji i zapewnienia wysokiej...",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,1
Hermer,https://useme-prod-public.s3.amazonaws.com/avatars/069/192469.png,,Znika za 30 dni,Stworzenie wireframe -> projektu graficznego strony głównej: Sklep internetowy,"https://useme.com/pl/jobs/stworzenie-wireframe-projektu-graficznego-strony-gownej-sklep-internetowy,105028/","Szukam projektanta graficznego, który stworzy:
1. Makietę - wireframe sklepu internetowego składającego się z maksymalnie 7 modułów na stronie głównej. 
2. Projekt graficzny strony głównej bazujący na wireframe. 
Na stronie będą oferowane:...",Description not found,Projektowanie UX/UI,"https://useme.com/pl/jobs/category/design,38/projektowanie-ux-ui,121/",Do negocjacji,1
Krystian,https://useme-prod-public.s3.amazonaws.com/avatars/057/252457.png,,Znika za 90 dni,Szukamy osoby do luźnej obsługi klienta - odpowiadaj na pytania i zamykaj sprzedaż!,"https://useme.com/pl/jobs/szukamy-osoby-do-luznej-obsugi-klienta-odpowiadaj-na-pytania-i-zamykaj-sprzedaz,105026/","Hej! Szukamy kogoś, kto w tygodniu (od poniedziałku do piątku, 8-16, ewentualnie godziny do dogadania) będzie dostępny pod telefonem, żeby odbierać połączenia od klientów zainteresowanych stworzeniem strony internetowej. Nie martw się – to nie...",Description not found,Obsługa klienta,"https://useme.com/pl/jobs/category/zlecenia-dla-studentow,5/obsluga-klienta,64/",Do negocjacji,1
qbicz,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Panel klienta na stronie internetowej,"https://useme.com/pl/jobs/panel-klienta-na-stronie-internetowej,105025/","Celem zlecenia jest stworzenie panelu klienta. Schemat panelu jest dostępny na załączonym zdjęciu.

ZAKRES PRACY
Konta użytkowników:
- Tworzenie kont użytkowników z przypisywaniem loginów i haseł.
- Wprowadzenie podstawowych informacji o...",Description not found,Strony internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/strony-internetowe,96/",Do negocjacji,1
Luxwiev,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Grafik komputerowy,"https://useme.com/pl/jobs/grafik-komputerowy,105024/",Witam szukam grafika komputerowego tworzenie wizualizacji branża dekoracja wnętrz druk fototapet tylko doświadczone osoby w tej branży,Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,1
ewapil,https://useme-prod-public.s3.amazonaws.com/avatars/073/267773_cH1w7RT.png,,Znika za 30 dni,UI - Landing Page,"https://useme.com/pl/jobs/ui-landing-page,105021/","Cześć!
Mamy już zaprojektowaną aplikację mobilną, a teraz potrzebujemy landing page.
Landing page ma składać się z sekcji ""hero"", na której będą dostępne dwa buttony, przekierowujące do dwóch różnych sekcji:
1 sekcja sklada sie z nastepujacych...",Description not found,Projektowanie UX/UI,"https://useme.com/pl/jobs/category/design,38/projektowanie-ux-ui,121/",Do negocjacji,1
Studio24,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Specjalista do dopracowania strony w serwisie Framer,"https://useme.com/pl/jobs/specjalista-do-dopracowania-strony-w-serwisie-framer,105020/","Poszukuję osoby, która pomoże mi w dostosowaniu już gotowej strony stworzonej w serwisie Framer. Aktualnie istnieje jedynie wersja desktopowa, a potrzebuję jej pełnej responsywności, obejmującej wersje na tablet i mobile.

Zakres...",Description not found,Strony internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/strony-internetowe,96/",Do negocjacji,1
JMFM SPÓŁKA Z OGRANICZONĄ ODP,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Stworzenie landing page,"https://useme.com/pl/jobs/stworzenie-landing-page,105019/","Dzień dobry,

Potrzebujemy stworzyć landing page, na którym będą sprzedawane eBooki. Na LP znajdzie się podstrona ""Kontakt"" oraz ""O mnie."" Posiadam stworzony design w Figmie na desktop oraz mobile.

Docelowa platforma to WooCommerce lub...",Description not found,Sklepy internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/sklepy-internetowe,97/",Do negocjacji,2
Creative Answer,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Proste video / zmontowanie filmu,"https://useme.com/pl/jobs/proste-video-zmontowanie-filmu,105018/",Szukam na szybko osoby która z gotowych materiałów zmontuje 3 min film. Bardzo prosty montaż,Description not found,Video,"https://useme.com/pl/jobs/category/multimedia,36/video,106/","500,00 PLN",2
Peopact,https://useme-prod-public.s3.amazonaws.com/avatars/087/148487.png,,Znika za 30 dni,"Budowa sklepu internetowego "" BEZ PŁATNOŚĆI""","https://useme.com/pl/jobs/budowa-sklepu-internetowego-bez-patnosci,105017/",Hej poszukuję osoby która wykona dla mnie sklep internetowy bez funkcji płatności zamiast funkcji Kup teraz będzie wyślij do wyceny ponieważ będziemy sprzedawać materiały których ciężko jest obliczyć transport. Całość opisze w rozmowie.,Description not found,Sklepy internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/sklepy-internetowe,97/",Do negocjacji,2
marta_342367,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Przygotowanie bazy adresów emailowych,"https://useme.com/pl/jobs/przygotowanie-bazy-adresow-emailowych,105015/","Na podstawie przygotowanej przeze mnie listy nazw firm, potrzebuję tabeli z adresem emailowym danej firmy lub informacji, że nie udało się go odnaleźć. Adresów mailowych szukamy w Google'u, na ogólnodostępnych firmowych stronach.

Przewiduję...",Description not found,Bazy danych,"https://useme.com/pl/jobs/category/prace-biurowe,40/bazy-danych,130/",Do negocjacji,2
SEOSKI MARCIN SKIBA,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Poszukujemy Wirtualnej Asystentki,"https://useme.com/pl/jobs/poszukujemy-wirtualnej-asystentki,105014/","Poszukujemy wirtualnej asystentki do wsparcia naszego zespołu w zakresie obsługi klientów. Idealna kandydatka powinna być zorganizowana, komunikatywna i umieć pracować w zespole.

Ogólny zakres obowiązków:

Obsługa klientów:
- Odpowiadanie na...",Description not found,Wirtualna asystentura,"https://useme.com/pl/jobs/category/prace-biurowe,40/wirtualna-asystentura,131/",Do negocjacji,2
Diagly,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Interaktywny formularz AI,"https://useme.com/pl/jobs/interaktywny-formularz-ai,105013/","Cześć,

Zakreślę nieco co mamy obecnie :) Tworzymy w startupie aplikację webową. Ma ona obecnie 4 widoki, w tym logowanie i rejestracja. Główny widok, który wymaga pracy można przyrównać do interaktywnego formularza, który przy użyciu AI...",Description not found,Projektowanie UX/UI,"https://useme.com/pl/jobs/category/design,38/projektowanie-ux-ui,121/",Do negocjacji,2
Rosfix,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Prowadzenie kampanii Google Ads i Facebook Ads + Tworzenie Prostych Banerów Reklamowych,"https://useme.com/pl/jobs/prowadzenie-kampanii-google-ads-i-facebook-ads-tworzenie-prostych-banerow-reklam,105012/","Poszukujemy doświadczonego freelancera do długoterminowej współpracy przy prowadzeniu kampanii reklamowych na Google Ads i Facebook Ads oraz tworzeniu prostych, ale skutecznych banerów reklamowych.

Zakres obowiązków:

Planowanie i realizacja...",Description not found,Kampanie reklamowe,"https://useme.com/pl/jobs/category/marketing,37/kampanie-reklamowe,109/",Do negocjacji,2
Jacek,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Stworzenie Aplikacji desktopowej. Lokalny model AI na komputerze dzięki czemu będzie można generować opisy tytuły....,"https://useme.com/pl/jobs/stworzenie-aplikacji-desktopowej-lokalny-model-ai-na-komputerze-dzieki-czemu-bed,104998/","Stworzenie Aplikacji desktopowej. Lokalny model AI na komputerze dzięki czemu będzie można generować opisy tytuły i słowa kluczowe dla plików jpg i klipów.
Ogólnie przygotowanie metatagów dla materiałów które będą wgrywane do serwisów stokowych",Description not found,Oprogramowanie,"https://useme.com/pl/jobs/category/programowanie-i-it,35/oprogramowanie,100/",Do negocjacji,2
JoannaLechowicz,https://useme-prod-public.s3.amazonaws.com/avatars/056/127156_je1QlmY.png,,Znika za 30 dni,Branding dla agencji marketingowej,"https://useme.com/pl/jobs/branding-dla-agencji-marketingowej,105006/","Poszukuję osoby, która wykonałaby pełną identyfikację wizualną dla agencji marketingowej. Zależy mi na tym, by identyfikacja zawierała pełny komplet informacji, takich jak:
logo,
kolorystyka,
krój pisma,
i wszelkie inne warianty graficzne,...",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,2
Mariusz,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Logo firmy,"https://useme.com/pl/jobs/logo-firmy,105008/","Ptrzebuję stworzyć logo dla firmy fizjoterapeutycznej, do wykorzystania na stronie internetowej. Zależy mi na czymś prostym i nowoczesnym zarazem. Może zawierać imie nazwisko + fizjoterapia lub coś na bazie samych  inicjałów, lub jakis logotyp i...",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,2
Cafessima,https://useme-prod-public.s3.amazonaws.com/avatars/055/056955_cBtCSyr.png,,Znika za 30 dni,"Wsparcie przy wejściu na różne marketplace: Kaufland, Velomarket, eMAG, PHH Group.","https://useme.com/pl/jobs/wsparcie-przy-wejsciu-na-rozne-marketplace-kaufland-velomarket-emag-phh-group,105007/","Posiadamy sklep cafessima.pl
Poszukujemy osoby, które pomoże nam w uruchomieniu sprzedaży na platformach: Kaufland, Velomarket, eMAG, PHH Group.
Własnymi siłami wprowadziliśmy sklep na polskie marketplace: Allegro, Inpost Fresh, Erli,...",Description not found,Sprzedaż i obsługa sprzedaży,"https://useme.com/pl/jobs/category/marketing,37/sprzedaz-i-obsuga-sprzedazy,113/",Do negocjacji,2
Kamil Ciempka,https://useme-prod-public.s3.amazonaws.com/avatars/038/402938.png,,Znika za 30 dni,"Nagranie lektorskie ok 1/2 strony A4 do internetu, głos męski lub żeński","https://useme.com/pl/jobs/nagranie-lektorskie-ok-12-strony-a4-do-internetu-gos-meski-lub-zenski,105009/","Zlecę wykonanie krótkiego nagrania lektorskiego na potrzeby kanału na YouTube. Kanał jest mało znany, informacyjny, infrastrukturalny. Do przeczytania i nagrania byłoby ok 10 zdań informacyjnych. Filmików do nagrania w miesiącu może być kilka....",Description not found,Dźwięk i muzyka,"https://useme.com/pl/jobs/category/multimedia,36/dzwiek-i-muzyka,108/",Do negocjacji,2
Fit Elite,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,"Artykuły/Wpisy o tematyce medytacji, technik oddechowych, psychologii","https://useme.com/pl/jobs/artykuywpisy-o-tematyce-medytacji-technik-oddechowych-psychologii,105011/","Szukam osoby z podstawową wiedzą na temat technik oddechowych, medytacji i różnych metod pracy w psychologii.

Potrzebna jest umiejętność dobrego reserchu ze źródeł zagranicznych .
Będą pisane artykuły/treści o nowej metodzie oddechowej -...",Description not found,Copywriting i teksty,"https://useme.com/pl/jobs/category/marketing,37/copywriting-i-teksty,110/",Do negocjacji,2
QualityIsland,https://useme-prod-public.s3.amazonaws.com/avatars/099/121499.png,,Znika za 30 dni,"Szukamy doświadczonego specjalisty od AWS, który postawi nam małą infrastrukturę serwerową według wymagań","https://useme.com/pl/jobs/szukamy-doswiadczonego-specjalisty-od-aws-ktory-postawi-nam-maa-infrastrukture-s,105005/","Szukamy doświadczonego specjalisty od AWS, który postawi nam małą infrastrukturę serwerową (3 serwery)  według wymagań, a po zleceniu zrealizuje krótkie szkolenie jak tym zarządzać. Po stworzeniu infrastuktry potrzeba też zestawić  tunelu...",Description not found,Administracja serwerami,"https://useme.com/pl/jobs/category/programowanie-i-it,35/administracja-serwerami,104/",Do negocjacji,2
Fit Elite,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Ulepszenie/Modyfikacja działającego lejka sprzedażowego,"https://useme.com/pl/jobs/ulepszeniemodyfikacja-dziaajacego-lejka-sprzedazowego,105004/","Poszukujemy specjalisty który ulepszy aktualnie wdrożony lejek sprzedażowy dla webinaru.
 
Obecnie co tydzień jest webinar i oferta sprzedaż z tygodniowym oknem sprzedażowym.
Monitorujemy sprzedaż- ROI co tydzień i patrzymy na zwroty.

Celem jest...",Description not found,Kampanie reklamowe,"https://useme.com/pl/jobs/category/marketing,37/kampanie-reklamowe,109/",Do negocjacji,2
Wiktor,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Sklep internetowy z eventami,"https://useme.com/pl/jobs/sklep-internetowy-z-eventami,105001/","Czas realizacji do końca listopada.

Zlecę wykonanie sklepu internetowego w jakim prowadzona będzie sprzedaż eventów. Produkty elektroniczne i fizyczne.",Description not found,Sklepy internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/sklepy-internetowe,97/","2000,00 PLN",2
Tomek13,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Deweloper PHP z doświadczeniem w Smarty i Bootstrap – Dostosowanie oraz zmiana szaty graficznej portalu ogłoszeniowego,"https://useme.com/pl/jobs/deweloper-php-z-doswiadczeniem-w-smarty-i-bootstrap-dostosowanie-oraz-zmiana-sza,104999/","Poszukuję doświadczonego programisty PHP do delikatnego dostosowania istniejącego skryptu do portalu z ogłoszeniami usług oraz zmiany jego szaty graficznej. Projekt oparty jest na technologii PHP, z oddzieloną warstwą graficzną wykorzystującą...",Description not found,Strony internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/strony-internetowe,96/",Do negocjacji,2
Tastystyle,https://useme-prod-public.s3.amazonaws.com/avatars/097/201397_cPBYOUh.png,,Znika za 30 dni,Kreatywny montaż wideo.,"https://useme.com/pl/jobs/kreatywny-montaz-wideo,104997/",Podobna stylówa jak w linku https://www.youtube.com/watch?v=LMayWdD7Oac,Description not found,Video,"https://useme.com/pl/jobs/category/multimedia,36/video,106/",Do negocjacji,2
,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Modyfikacja kodu php wtyczki Wordpress WP Crowdfunding,"https://useme.com/pl/jobs/modyfikacja-kodu-php-wtyczki-wordpress-wp-crowdfunding,104995/","www.pawelperfect.pl 
Poszukiwany Programista PHP do Modyfikacji Wtyczki WP Crowdfunding
Szukamprogramisty PHP do modyfikacji wtyczki WP Crowdfunding. Projekt polega na dodaniu funkcji przeliczania walut między euro (EUR) a złotówkami (PLN) w...",Description not found,Aplikacje webowe,"https://useme.com/pl/jobs/category/programowanie-i-it,35/aplikacje-webowe,102/","100,00 PLN",2
Nowatorskie Domy,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Projekt > deployment > utrzymanie > rozwój - stron firmowych www,"https://useme.com/pl/jobs/projekt-deployment-utrzymanie-rozwoj-stron-firmowych-www,104994/","Strona ma dotyczyć działalności deweloperskiej - budowa domów bliźniaczych i szeregowych - a więc zdjęcia oraz projekty do przygotowania i wgrania.
Bardzo możliwe proste wizualizacje 3D.
Dla każdej nowej inwestycji - kolejna www w tym samym...",Description not found,Strony internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/strony-internetowe,96/",Do negocjacji,2
Promotion,https://useme-prod-public.s3.amazonaws.com/avatars/057/229157.png,,Znika za 30 dni,Stworzenie krótkiej 2-3 sek. animacji / dżingla video z logo,"https://useme.com/pl/jobs/stworzenie-krotkiej-2-3-sek-animacji-dzingla-video-z-logo,104993/","Zlecę stworzenie krótkiej 2-3 sekundowej animacji / dżingla video z logo. Animacja ma być cześciowo przezroczysta, ma służyć głównie jako przerywnik w programie wideo, pomiędzy dwoma jego elementami. W dużym stopniu chodzi o coś podobnego (nie...",Description not found,Animacja,"https://useme.com/pl/jobs/category/multimedia,36/animacja,105/",Do negocjacji,3
Monika,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Tłumaczenie cv z PL/ANG > BUŁGARSKI,"https://useme.com/pl/jobs/tumaczenie-cv-z-plang-bugarski,104992/","Zlece tłumaczenie cv z PL/ANG > BUŁGARSKI, 67 słów",Description not found,Język angielski,"https://useme.com/pl/jobs/category/tlumaczenia,39/jezyk-angielski,122/","50,00 PLN",3
Oskar | Dotinvent,https://useme-prod-public.s3.amazonaws.com/avatars/052/270352.png,,Znika za 30 dni,🎾 SOCIAL MEDIA MANAGER - PROJEKT TENISOWY,"https://useme.com/pl/jobs/social-media-manager-projekt-tenisowy,104991/","🎾 SOCIAL MEDIA MANAGER - PROJEKT TENISOWY dla rozwijającego się projektu z branży tenisowej poszukujemy kreatywnego Social Media Managera z pasją do sportu!

📍 O PROJEKCIE:
Jesteśmy społecznością ekspertów tenisowych, dostarczającą...",Description not found,Social media,"https://useme.com/pl/jobs/category/marketing,37/social-media,111/","1500,00 PLN",3
LUKASZW,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,Specjalista SEO,"https://useme.com/pl/jobs/specjalista-seo,104990/","Szukamy specjalisty SEO, który pomoże nam poprawić widoczność naszego sklepu www. Jeśli masz doświadczenie, wiesz, jak optymalizować treści i lubisz analizować dane, to chętnie z Tobą porozmawiamy!

Co będzie do zrobienia:
• Przeprowadzenie...",Description not found,SEO,"https://useme.com/pl/jobs/category/marketing,37/seo,112/",Do negocjacji,3
Piotr_Tychy,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 30 dni,G Ads - mikro zlecenie,"https://useme.com/pl/jobs/g-ads-mikro-zlecenie,104989/","Zlecę przygotowanie 1 kampanii G Ads na max. 2-3 słowa kluczowe dla 1 kategorii produktowej. Jeżeli efekt docelowy zostanie osiągnięty to rozszerzymy działania na kolejne kategorie, a jest ich niespełna 300.",Description not found,SEO,"https://useme.com/pl/jobs/category/marketing,37/seo,112/",Do negocjacji,3
Marcin - Inventively,https://useme-prod-public.s3.amazonaws.com/avatars/019/072619.png,,Znika za 60 dni,After effects: video prezentujące aplikację mobilną i webową,"https://useme.com/pl/jobs/after-effects-video-prezentujace-aplikacje-mobilna-i-webowa,104988/","Hej, 

Proszę zerknąć na załączony przykład który znalazłem na https://500designs.com/work/trendpop/ Chciałbym podobne video na moją stronę. 

Dostarczymy gotowe assety w Figmie. Należy wykonać animację. Podkład muzyczny nie jest potrzebny....",Description not found,Video,"https://useme.com/pl/jobs/category/multimedia,36/video,106/",Do negocjacji,3
WebLeaders,https://useme-prod-public.s3.amazonaws.com/avatars/049/258249.png,,Znika za 29 dni,DevOps do optymalizacji VPS hostującego strony z bardzo dużym ruchem,"https://useme.com/pl/jobs/devops-do-optymalizacji-vps-hostujacego-strony-z-bardzo-duzym-ruchem,104985/","Poszukuję doświadczonego DevOpsa do optymalizacji naszej infrastruktury serwerowej. Obecnie obsługujemy rosnący ruch na stacku technologicznym: PHP, Laravel, MySQL, Redis, Varnish Cache, Meilisearch i Nginx.
Ruch jaki obsługujemy w ostatnim...",Description not found,Administracja serwerami,"https://useme.com/pl/jobs/category/programowanie-i-it,35/administracja-serwerami,104/",Do negocjacji,3
SZYMCZYK MEDIA,https://useme-prod-public.s3.amazonaws.com/avatars/019/208819_8ZIUbkN.png,,Znika za 29 dni,Handlowiec do sprzedaży usługi agencji - pozyskiwanie kontaktów,"https://useme.com/pl/jobs/handlowiec-do-sprzedazy-usugi-agencji-pozyskiwanie-kontaktow,104984/","Witam pozyskuje klientów dla firm za pomocą różnych metod, atrakcyjną ofertą.

W zakresie zlecanych pracy wchodzi prospecting i obsługa sprzedaży w dowolnej formie.

Prosimy o wycenę miesiąca pracy dla deklarowanej ilości godzin.

...",Description not found,Sprzedaż i obsługa sprzedaży,"https://useme.com/pl/jobs/category/marketing,37/sprzedaz-i-obsuga-sprzedazy,113/","500,00 PLN",3
